date;expec;ibovespa
01/01/2012;0,59;11,13
01/02/2012;0,55;4,34
01/03/2012;0,45;-1,98
01/04/2012;0,51;-4,17
01/05/2012;0,48;-11,86
01/06/2012;0,23;-0,25
01/07/2012;0,2;3,21
01/08/2012;0,33;1,72
01/09/2012;0,44;3,7
01/10/2012;0,51;-3,56
01/11/2012;0,5;0,71
01/12/2012;0,54;6,05
01/01/2013;0,78;-1,95
01/02/2013;0,41;-3,91
01/03/2013;0,45;-1,87
01/04/2013;0,42;-0,78
01/05/2013;0,33;-4,3
01/06/2013;0,32;-11,31
01/07/2013;0,2;1,64
01/08/2013;0,29;3,68
01/09/2013;0,45;4,65
01/10/2013;0,57;3,66
01/11/2013;0,67;-3,27
01/12/2013;0,71;-1,86
01/01/2014;0,74;-7,51
01/02/2014;0,65;-1,14
01/03/2014;0,56;7,05
01/04/2014;0,69;2,4
01/05/2014;0,47;-0,75
01/06/2014;0,34;3,76
01/07/2014;0,24;5
01/08/2014;0,25;9,78
01/09/2014;0,4;-11,7
01/10/2014;0,5;0,95
01/11/2014;0,59;0,18
01/12/2014;0,75;-8,62
01/01/2015;1,05;-6,2
01/02/2015;1,02;9,97
01/03/2015;1,14;-0,84
01/04/2015;0,65;9,93
01/05/2015;0,5;-6,17
01/06/2015;0,55;0,61
01/07/2015;0,45;-4,17
01/08/2015;0,3;-8,33
01/09/2015;0,41;-3,36
01/10/2015;0,65;1,8
01/11/2015;0,62;-1,63
01/12/2015;0,9;-3,93
01/01/2016;0,86;-6,79
01/02/2016;0,91;5,91
01/03/2016;0,54;16,97
01/04/2016;0,6;7,7
01/05/2016;0,52;-10,09
01/06/2016;0,33;6,3
01/07/2016;0,4;11,22
01/08/2016;0,32;1,03
01/09/2016;0,35;0,8
01/10/2016;0,39;11,23
01/11/2016;0,39;-4,65
01/12/2016;0,52;-2,71
01/01/2017;0,58;7,38
01/02/2017;0,5;3,08
01/03/2017;0,27;-2,52
01/04/2017;0,31;0,64
01/05/2017;0,5;-4,12
01/06/2017;0;0,3
01/07/2017;0,19;4,8
01/08/2017;0,47;7,46
01/09/2017;0,26;4,88
01/10/2017;0,38;0,02
01/11/2017;0,41;-3,15
01/12/2017;0,37;6,16
01/01/2018;0,37;11,14
01/02/2018;0,42;0,52
01/03/2018;0,22;0,01
01/04/2018;0,33;0,88
01/05/2018;0,33;-10,87
01/06/2018;0,53;-5,2
01/07/2018;0,35;8,88
01/08/2018;0,05;-3,21
01/09/2018;0,24;3,48
01/10/2018;0,41;10,19
01/11/2018;0,15;2,38
01/12/2018;0,12;-1,81
01/01/2019;0,37;10,82
01/02/2019;0,35;-1,86
01/03/2019;0,38;-0,18
01/04/2019;0,45;0,98
01/05/2019;0,3;0,7
01/06/2019;0,11;4,06
01/07/2019;0,2;0,84
01/08/2019;0,18;-0,67
01/09/2019;0,15;3,57
01/10/2019;0,15;2,36
01/11/2019;0,36;0,95
01/12/2019;0,7;6,85
01/01/2020;0,38;-1,63
01/02/2020;0,21;-8,43
01/03/2020;0,14;-29,9
01/04/2020;0,06;10,25
01/05/2020;-0,35;8,57
01/06/2020;0,17;8,76
01/07/2020;0,39;8,27
01/08/2020;0,08;-3,44
01/09/2020;0,27;-4,8
01/10/2020;0,45;-0,69
01/11/2020;0,4;15,9
01/12/2020;1,19;9,3
01/01/2021;0,23;-3,32
01/02/2021;0,56;-4,37
01/03/2021;0,85;6
01/04/2021;0,45;1,94
01/05/2021;0,455;6,16
01/06/2021;0,55;0,46
01/07/2021;0,58;-3,94
01/08/2021;0,45;-2,48
01/09/2021;0,77;-6,57
01/10/2021;0,56;-6,74
01/11/2021;0,75;-1,53
01/12/2021;0,72;2,85
01/01/2022;0,45;6,98
01/02/2022;0,85;0,89
01/03/2022;0,9;6,06
01/04/2022;0,9;-10,1
01/05/2022;0,31;3,22
01/06/2022;0,6;-11,5
01/07/2022;-0,28;4,69
01/08/2022;-0,194;0,19
01/09/2022;0,17;0,47
01/10/2022;0,34;5,45
01/11/2022;0,4;-3,06
01/12/2022;0,64;-2,45
01/01/2023;0,53;3,37
01/02/2023;0,8;-7,49
01/03/2023;0,65;-2,91
01/04/2023;0,59;2,5
01/05/2023;0,44;3,74
01/06/2023;0,3;9
01/07/2023;0,26;3,26
01/08/2023;0,3;-5,09
01/09/2023;0,41;0,71
01/10/2023;0,38;-2,94
01/11/2023;0,3;12,54
01/12/2023;0,46;5,38
01/01/2024;0,4;-4,79
01/02/2024;0,48;0,99
01/03/2024;0,35;-0,71
01/04/2024;0,35;-1,7
